ingredient_name,rating,functions,benefits
Phytoceramides,BEST,Phytoceramides are plant-derived ceramides.,"Anti-Aging, Hydration"
Phytosphingosine,BEST,"This fatty acid is found naturally in the upper layers of skin and helps it retain its natural moisturizing factor (NMF), which benefits skin health. It also has calming properties.","Anti-Aging, Hydration"
Phytosphingosine Phosphate,BEST,Phytosphingosine phosphate is a large mix of esters derived from phytosphingosine and phosphoric acid.,"Anti-Aging, Hydration"
Phytosterols,BEST,"Phytosterols are naturally occurring, cholesterol-like molecules found in all plant foods.","Hydration, Soothing"
Phytosteryl/Octyldodecyl Lauroyl Glutamate,BEST,"Phytosteryl/octyldodecyl lauroyl glutamate, a mix of amino acids and plant-based sterols, functions in cosmetics as an emollient and skin-conditioner.",Hydration
Picea Abies Wood Extract,BEST,"Wood extract derived from Norway spruce, known for its skin-soothing properties. Can be upcycled as a byproduct of the timber industry.",Soothing
Pisum Sativum (Pea) Extract,BEST,Extract derived from the garden pea that offers antioxidant and skin-conditioning benefits. Can help reduce factors within skin that lead to redness and other signs of sensitivity.,"Anti-Aging, Soothing"
Plinia Cauliflora (Jabuticaba) Fruit Extract,BEST,"Jabuticaba is a dark berry native to Brazil and, like many berries, is a rich source of nearly a dozen polyphenolic antioxidants.",Anti-Aging
Plinia Cauliflora Fruit Extract,BEST,"This dark berry is native to Brazil and, like many berries, is a rich source of nearly a dozen polyphenolic antioxidants.",Anti-Aging
Plukenetia Volubilis Seed Oil,BEST,"Fragrance-free plant oil that offers skin-nourishing fatty acids, anti-aging antioxidants and moisturizing benefits.","Anti-Aging, Hydration, Soothing"
Plum Seed Oil,BEST,"Plum (Prunus domestica) seed oil, also known as plum kernel oil, is non-fragrant oil.","Anti-Aging, Hydration"
Polyglutamic Acid,BEST,"Established humectant available in a range of molecular sizes, including those capable of penetrating skin’s surface for long-lasting moisture retention.","Hydration, Anti-Aging"
Polyglyceryl-3 Rice Branate,BEST,An ingredient that serves as a surfactant and emulsifier and is a derivative of the fatty acids that come from rice bran oil.,Hydration
Polyglyceryl-4 Olivate,BEST,"Multitalented ingredient that can work as an emulsifier, stabilizer, emollient, and cleansing agent. The olive oil portion of this ingredient is a beneficial source of fatty acids and antioxidants.",
Polygonum Bistorta Root Extract,BEST,"Plant extract that’s a potent antioxidant and able to revive a radiant, even-toned look to dull, fatigued skin.","Anti-Aging, Evens Skin Tone, Hydration, Soothing"
Polygonum Cuspidatum Root Extract,BEST,"Plant extract that’s an excellent source of trans-resveratrol, the form skin can readily use. It has particular value for helping to preserve skin’s youthfulness.","Anti-Aging, Soothing"
Polyhydroxy Acid,BEST,Ingredients such as gluconolactone and lactobionic acid are types of polyhydroxy acid (PHA).,"Evens Skin Tone, Smooths Bumpy Skin, Anti-Aging"
Polysaccharide,BEST,Natural component of skin that can be a good water-binding agent and potentially have antioxidant properties.,"Hydration, Anti-Aging"
Pomegranate Extract,BEST,Antioxidant-rich plant extract that can help improve the appearance of aging skin by inhibiting damaging environmental stressors. It can also have a soothing effect on skin.,"Anti-Aging, Soothing"
Pongamia Glabra Seed Oil,BEST,"Oil derived from the seeds of the Millettia pinnata tree, a plant native to South and Southeast Asia.","Anti-Aging, Hydration"
Poria Cocos Extract,BEST,"Also known as Hoelen and Fu ling. Extract derived from a mushroom, which has antioxidant and skin-soothing properties.","Anti-Aging, Soothing"
Porphyra Umbilicalis Extract,BEST,Latin name for a type of red algae that’s proven to help defend skin from environmental stressors and has great synergy with vitamin C.,"Anti-Aging, Hydration, Soothing"
Portulaca Oleracea Extract,BEST,"Potent antioxidant with skin-soothing, anti-wrinkle benefits. Also delivers beneficial minerals for skin. Has the potential to help skin that has become lax/crepey.","Anti-Aging, Soothing, Hydration"
Portulaca Pilosa Extract,BEST,"Natural ingredient that's a rich source of potent, effective antioxidants skin needs to look and act younger. Also contains hydrating saccharides.",
Potassium Ascorbyl Tocopheryl Phosphate,BEST,Blend of vitamins C and E with phosphorus that functions as an antioxidant.,Anti-Aging
Potassium Azeloyl Diglycinate,BEST,"A derivative of azelaic acid, this multitasker that improves uneven tone, soothes skin, and balances oil production while also hydrating skin.","Evens Skin Tone, Soothing, Dark Spot Fading"
Potassium PCA,BEST,"Skin-replenishing mineral electrolyte that helps improve hydration levels, while strengthening skin's barrier. Also helps optimize skin’s desquamation (shedding) process.",Hydration
Prickly Pear,BEST,Unknown,"Anti-Aging, Soothing, Smooths Bumpy Skin"
Proline,BEST,This amino acid helps skin retain moisture and supports the structures in skin that keep it looking and feeling youthful.,"Hydration, Anti-Aging"
Propyl Gallate,BEST,Antioxidant that benefits skin while promoting formulary stability.,
Protease,BEST,This type of enzyme can work to help renew skin and help restore its barrier.,Anti-Aging
Prunus Amygdalus Dulcis (Sweet Almond) Oil,BEST,"This non-fragrant plant oil has numerous benefits for skin, including as a source of triglycerides, fatty acids, and antioxidants.","Anti-Aging, Hydration"
Prunus Armeniaca,BEST,"Latin name for apricot and also known as Armenian plum. Use in cosmetics depends on the part used: oil, extract, water/juice, leaf, seed, or shell.",Anti-Aging
Prunus Armeniaca (Apricot) Fruit,BEST,"Latin name for apricot and also known as Armenian plum. Use in cosmetics depends on the part used: oil, extract, water/juice, leaf, seed, or shell.",Anti-Aging
Prunus Armeniaca (Apricot) Kernel Oil,BEST,This non-fragrant plant oil has hydrating properties and is a rich source of fatty acids and antioxidants.,"Anti-Aging, Hydration"
Prunus Domestica Seed Oil,BEST,"Non-fragrant plant oil, more commonly known as plum (and, when dried, prune) that is a rich source of several potent antioxidants.","Hydration, Anti-Aging"
Prunus Lannesiana (Cherry Blossom) Flower Extract,BEST,Extract from a flowering plant that contains beneficial antioxidant components that help skin look younger and more even-toned.,"Anti-Aging, Soothing"
Prunus Serotina (Wild Cherry) Fruit Extract,BEST,"Commonly known as black cherry, wild cherry extract is a potent source of antioxidants, notably several kinds of antioxidants known as polyphenols.","Anti-Aging, Soothing"
Pseudopterogorgia Elisabethae,BEST,"Also known as sea whip, this ingredient is known for its soothing properties.",Soothing
Psidium Guajava Fruit Extract,BEST,"Guava extract is a rich source of bioactive antioxidants including gallic acid, quercetin, and tocopherol.",Anti-Aging
Pueraria Lobata,BEST,"Commonly known as kudzu, this plant and its extracts are a source of isoflavone, genistein, and daidzein, all plant estrogens that can help improve signs of aging.","Anti-Aging, Evens Skin Tone"
Pueraria Lobata Root Extract,BEST,"Source of isoflavone, genistein, and daidzein, all plant estrogens that provide anti-aging and antioxidant benefits.","Anti-Aging, Evens Skin Tone"
Pumpkin,BEST,Plant whose seeds are a rich source of fatty acids and several antioxidant components.,"Anti-Aging, Hydration"
Pumpkin Seed Extract,BEST,Type of squash that is a very good source of antioxidant cartenoids.,"Anti-Aging, Hydration"
Punica Granatum Extract,BEST,"Commonly known as pomegranate, this antioxidant can help improve the appearance of aging skin by inhibiting damaging environmental stressors. It can also have a soothing effect on skin.","Anti-Aging, Soothing"
Punica Granatum Fruit Extract,BEST,"This ingredient, also known as pomegranate fruit extract, has antioxidant and anti-wrinkle properties for skin.","Anti-Aging, Soothing"
Punica Granatum Pericarp Extract,BEST,"Alternative name for pomegranate peel, which like other parts of this fruit is a rich source of antioxidants for healthier skin.","Anti-Aging, Hydration, Soothing"
Punica Granatum Seed Oil,BEST,"Also known as pomegranate seed oil, this a non-fragrant oil delivers skin-soothing and restorative effects. Its beneficial compounds include fatty acids, antioxidants, and phytoestrogens.","Anti-Aging, Hydration, Soothing"
Purslane,BEST,"Potent antioxidant with skin-soothing, anti-wrinkle benefits. Also delivers beneficial minerals for skin. Has the potential to help skin that has become lax/crepey.","Anti-Aging, Soothing"
Pycnogenol,BEST,Antioxidant derived from the bark of the French Maritime pine tree.,"Anti-Aging, Soothing"
Pyrus Malus (Apple) Fruit Extract,BEST,This fruit extract is a rich source of free radical-scavenging antioxidants and has hydrating properties.,"Anti-Aging, Hydration"
Quercetin,BEST,"A natural ingredient found in a wide variety of plants, including tomatoes, kale, and berries. In skin care, it serves as an antioxidant, soothing, and restorative ingredient.","Anti-Aging, Soothing"
Rambutan,BEST,Extract derived from a tropical fruit (rambutan). Offers significant anti-aging benefits & helps protect against photo-aging (sun damage).,"Anti-Aging, Dark Spot Fading, Soothing"
Rapeseed Oil,BEST,Nonfragrant oil that has emollient and potential antioxidant properties for skin and is a rich source of omega-3 and omega-6 fatty acids.,"Hydration, Anti-Aging"
Raphanus Sativus (Radish) Seed Oil,BEST,Raphanus sativus (radish) seed oil is non-fragrant plant oil that's a rich source of unsaturated fatty acids.,"Hydration, Anti-Aging"
Red Algae,BEST,This type of seaweed has hydrating and antioxidant benefits for skin.,
Rehmannia Glutinosa Root Extract,BEST,This extract used in traditional Chinese medicine has calming and anti-aging properties for skin.,"Anti-Acne, Soothing"
Resveratrol,BEST,"Soothing antioxidant with the power to help minimize discolorations, while rebuffing other signs of aging.","Anti-Aging, Dark Spot Fading, Soothing"
Retinaldehyde,BEST,"Form of retinol that is a direct precursor to retinoic acid, with significant research backing its ability to visibly reduce fine lines, wrinkles, and other signs of aging. Can also be used to improve the appearance of blemish-prone skin.","Anti-Aging, Evens Skin Tone, Oil Control"
Retinoids,BEST,"An umbrella term for vitamin A derivatives that work as antioxidants and promote anti-aging, firming, skin tone evening and pore-minimizing benefits.",
Retinol,BEST,"One of the most recognized anti-aging ingredients, this powerhouse has multiple benefits for skin. With over seven decades of research proving its effectiveness, it’s used in several strengths and types of products to deliver visible results.","Anti-Aging, Anti-Acne, Pore Minimizer"
Retinyl Ascorbate,BEST,An ester of vitamin A (retinoic acid) and vitamin C (ascorbic acid) that functions as an antioxidant...,"Anti-Aging, Anti-Acne, Pore Minimizer"
Retinyl Palmitate,BEST,A form of vitamin A that’s found naturally in skin and works in cosmetics as an antioxidant. It has been ruled as safe as used in cosmetics.,Anti-Aging
Retinyl Propionate,BEST,Retinyl propionate is a vitamin A derivative that shares the same anti-aging benefits as classic retinol but with greater stability.,"Anti-Acne, Anti-Aging, Dark Spot Fading, Evens Skin Tone, Pore Minimizer"
Retinyl Retinoate,BEST,"A synthetic, ""new generation"" retinol with research showing its usefulness for restoring and improving signs of aging in skin.","Anti-Aging, Anti-Acne, Pore Minimizer"
Rhamnose,BEST,"Naturally-derived prebiotic sugar that provides skin-soothing, hydrating, and anti-aging benefits.","Anti-Aging, Soothing"
Rhodiola Rosea Root Extract,BEST,"The extract of the plant Rhodiola rosea, also known as Arctic root or golden root, that is high in antioxidants and flavonoids.",Anti-Acne
Ricinus Communis (Castor) Seed Oil,BEST,"Emollient oil derived from the castor bean, which is rich in skin-beneficial fatty acids.",Hydration
Rosa Canina,BEST,Plant with potential antioxidant (anti-aging) benefits for skin.,Anti-Aging
Rosa Canina Fruit Oil,BEST,"Non-fragrant, emollient plant oil (commonly referred to as rose hip) that offers antioxidant properties and is a rich source of skin-beneficial fatty acids.","Hydration, Anti-Aging"
Rosa Canina Seed Extract,BEST,Plant extract with potential antioxidant (anti-aging) benefits for skin.,Anti-Aging
Rosa canina seed oil,BEST,Non-fragrant plant oil that works to hydrate and protect skin from aging environmental aggressors.,"Hydration, Anti-Aging"
Rosa Moschata Leaf Extract,BEST,This extract comes from the leaves of one of the plants that produces rose hips used for rose hip oil.,
Rosa Moschata Seed Oil,BEST,"Non-fragrant, emollient plant oil (commonly known as rose hip) that offers antioxidant properties and is a rich source of skin-beneficial fatty acids.","Hydration, Anti-Aging"
Rosa Mosqueta,BEST,"The Latin name for one of the sources of rose hip oil, a rich source of skin-beneficial fatty acids.",
Rosa Multiflora Fruit Extract,BEST,This plant extract is the fruit of the Japanese rose and has antioxidant plus  anti-aging capabilities.,Anti-Aging
Rosa Roxburghii Extract,BEST,Extract from the chestnut rose; can be a source of antioxidants for skin.,Anti-Aging
Rosa Rubiginosa,BEST,A species of rose hip that can provide antioxidant properties.,Anti-Aging
Rosa Rubiginosa Fruit Extract,BEST,Plant extract from a species of rose hip that can provide antioxidant properties.,Anti-Aging
Rose Hip,BEST,This part of the rose plant just below the flower is rich in antioxidants.,Anti-Aging
Rose Hip Oil,BEST,Non-fragrant emollient plant oil that has antioxidant properties and is a rich source of skin-beneficial fatty acids.,"Hydration, Anti-Aging, Soothing"
Rubus Chamaemorus (Cloudberry) Fruit Extract,BEST,"This plant's golden-red berries are rich sources of anthocyanins, beta-carotene, and vitamin E.","Anti-Aging, Soothing"
Rubus Fruticosus (Blackberry) Fruit Extract,BEST,Extract from European blackberries that offers significant protection against skin photoaging due to its strong antioxidant activity.,Anti-Aging
Rubus Idaeus,BEST,"Also known as red raspberry, when applied topically this extract offers antioxidant benefits and can inhibit enzymes in skin that lead to signs of discolorations and loss of firmness.",Anti-Aging
Rubus Idaeus (Raspberry) Fruit Extract,BEST,"Also known as red raspberry, when applied topically this extract offers antioxidant benefits and can inhibit enzymes in skin that lead to signs of discolorations and loss of firmness.","Anti-Aging, Soothing"
Rubus Idaeus (Raspberry) Fruit Extract,BEST,"Also known as red raspberry, when applied topically this extract offers antioxidant benefits and can inhibit enzymes in skin that lead to signs of discolorations and loss of firmness.","Anti-Aging, Soothing"
Rubus Occidentalis,BEST,Plant that is a skin-beneficial source of antioxidants.,Anti-Aging
Rubus Occidentalis Fruit Extract,BEST,Plant extract that is a skin-beneficial source of antioxidants.,Anti-Aging
Rubus Ursinus X Idaeus,BEST,Berry that can have potent antioxidant properties for skin.,
Rubus Villoscus,BEST,The Latin name for blackberry fruit extract. This plant extract has antioxidant ability that stems from its phenolic acid content.,"Anti-Aging, Soothing"
Rubus Villoscus (Blackberry) Fruit Extract,BEST,The Latin name for blackberry fruit extract. This plant extract has antioxidant ability that stems from its phenolic acid content.,"Anti-Aging, Soothing"
Rutin,BEST,Bioflavonoid that is extracted from various plants and used in cosmetics as an antioxidant and emollient.,"Anti-Aging, Hydration"
Saccharide Isomerate,BEST,"Water-binding agent and emollient, particularly helpful for dry skin. Research indicates it has an affinity for soothing and strengthening skin's barrier, while delivering long-lasting hydration.",Hydration
Saccharides,BEST,"Function as hydration-boosting, water-binding agents in skin care.",Hydration
Saccharomyces Lysate,BEST,A postbiotic obtained from the by-products of fermented yeast that’s rich in an array of nutrients to fortify and help soothe skin.,"Hydration, Soothing"
Safflower Seed Oil,BEST,Emollient oil derived from the safflower (Carthamus tinctorius) plant.,"Hydration, Anti-Aging"
Salicylic Acid,BEST,"Oil-soluble exfoliating ingredient that gently helps slough off dead skin cells and unclogs pores, for softer, smoother texture and tone.","Anti-Acne, Anti-Aging, Blackhead Reducing"
Salicyloyl Phytosphingosine,BEST,This derivative of a phytospingosine found naturally in skin is calming and helps reduce the appearance of fine lines and wrinkles.,"Anti-Aging, Soothing"
Salix Alba Extract,BEST,"Plant extract that offers proven skin-soothing, antioxidant benefits.",Soothing
Salix Nigra (Willow) Bark Extract,BEST,"Plant extract that offers proven skin-soothing, antioxidant benefits.",Soothing
Salvia Hispanica (Chia) Seed Oil,BEST,"This non-fragrant plant oil is both a potent source of omega fatty acids and antioxidants. Because of its ability to moisturize and fight free radical damage, it’s an excellent addition to skin care products.","Hydration, Anti-Aging, Soothing"
Salvia Hispanica Seed Oil,BEST,"This non-fragrant plant oil is both a potent source of omega fatty acids and antioxidants. Because of its ability to moisturize and fight free radical damage, it’s an excellent addition to skin care products.","Hydration, Anti-Aging, Soothing"
Sambucus Nigra,BEST,This plant has potent antioxidant properties due to the flavonoid compounds naturally present.,"Anti-Aging, Soothing"
Sambucus Nigra Extract,BEST,"Also known as black elderberry, this shrub-growing berry has potent antioxidant and skin-soothing properties.","Anti-Aging, Soothing"
Sambucus Nigra Fruit Extract,BEST,"Also known as black elderberry, this shrub-growing berry has potent antioxidant and skin-soothing properties.","Anti-Aging, Soothing"
Sarcosine,BEST,Synthetic amino acid used in cosmetics to condition/soften skin. May also help enhance the penetration of other key ingredients and can lessen the impact UV exposure has on skin’s surface.,Hydration
Schisandra Chinensis (Magnolia) Fruit Extract,BEST,"Also known as five flavor fruit and Chinese magnolia vine, this berry is loaded with beneficial compounds which provide antioxidant benefits for skin.","Anti-Aging, Soothing, Hydration"
Schisandra Chinensis Fruit Extract,BEST,This berry is loaded with beneficial compounds which provide antioxidant benefits for skin.,"Anti-Aging, Soothing, Hydration"
Schizophyllan,BEST,"Plant-derived skin soother obtained via fermentation that helps calm signs of irritation, hydrates, and visibly improves firmness.",
Sclerocarya Birrea,BEST,"A non-fragrant plant oil that's a rich source of fatty acids for skin, including palmitic and stearic acids.","Hydration, Anti-Aging"
Sclerocarya Birrea Seed Oil,BEST,"A non-fragrant plant oil that's a rich source of fatty acids for skin, including palmitic and stearic acids.","Hydration, Anti-Aging"
Sea Buckthorn,BEST,"Also known as seaberry, sea buckthorn is a good source of vitamin C as well as various B vitamins, and vitamin E.","Anti-Aging, Soothing"
Sea Whip Extract,BEST,"Powerful soothing ingredient with the ability to halt skin-irritating triggers preventatively, especially beneficial for those with sensitive or redness-prone skin.",Soothing
Selenium,BEST,Mineral considered to be a potent antioxidant.,Anti-Aging
Sesame Oil,BEST,"Sesame oil is a non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans, antioxidant compounds with a calming effect on skin. Moisturizes skin by preventing water loss from its uppermost layers.","Hydration, Anti-Aging"
Sesamum Indicum,BEST,This is also known as sesame. Its oil is a good source of monounsaturated and polyunsaturated fats along with vitamin E.,Anti-Aging
Sesamum Indicum (Sesame) Seed Oil,BEST,"Non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans, antioxidant compounds with a calming effect on skin. Moisturizes skin by preventing water loss from its uppermost layers.","Anti-Aging, Hydration"
Shea Butter,BEST,Shea butter is a plant lipid extracted from the karite tree that is used as an emollient in cosmetics.,"Anti-Aging, Hydration, Soothing"
Sh-Polypeptide-121,BEST,"This bio-identical single chain peptide plays a role in helping to shore up skin’s underlying support, smoothing wrinkles and improving resilience, among other benefits.","Anti-Aging, Soothing"
Silver Tip White Tea Leaf Extract,BEST,Extract from the minimally processed buds and leaves of green tea.,"Anti-Aging, Soothing"
Silybum Marianum Extract,BEST,Extract from a plant whose many components have pronounced antioxidant and skin-calming ability.,"Anti-Aging, Dark Spot Fading, Soothing"
Silybum Marianum Fruit Extract,BEST,Silymarin marianum is a plant whose many components have pronounced antioxidant and skin-calming ability.,"Anti-Aging, Dark Spot Fading, Soothing"
Silybum Marianum Seed Oil,BEST,Compounds in this seed oil can help inhibit destructive enzymes in skin’s uppermost layers that would otherwise damage collagen and elastin leading to visibly aged skin. May also help fade discoloration from sun exposure.,"Anti-Aging, Soothing, Dark Spot Fading"
Simmondsia Chinensis,BEST,"Commonly known as jojoba, offers hydrating, soothing and antioxidant benefits for skin.","Hydration, Anti-Aging, Soothing"
Simmondsia Chinensis (Jojoba) Butter,BEST,"The fattiest portion of jojoba oil, used as an intensive emollient.",Hydration
Simmondsia Chinensis (Jojoba) Seed Oil,BEST,"Emollient extracted from the seeds of a perennial shrub, which offers hydrating, soothing and antioxidant benefits for skin.","Hydration, Anti-Aging, Soothing"
Skin Conditioning Ingredients,BEST,"These ingredients condition skin, restoring smoothness and helping to alleviate dryness and a rough, flaky texture.",Hydration
Skin-Replenishing Ingredients,BEST,"These are skin care ingredients that help enrich skin's surface, drenching it with revitalizing hydration and keeping it there.","Hydration, Anti-Aging"
Skin-Restoring Ingredients,BEST,"Skin care ingredients that nourish skin's surface in a way that helps transform it on many levels to appear noticeably younger, with a renewed feeling of firmness, and a more even-looking complexion.",
Snail Secretion Filtrate,BEST,"Also known as snail mucin, this ingredient has research supporting its benefits for signs of sun damage.",Anti-Aging
Sodium Acetylated Hyaluronate,BEST,A hyaluronic acid derivate that improves upon the ingredient’s bioavailability. It hydrates as a humectant and helps to protect skin from environmental damage.,"Hydration, Anti-Aging"
Sodium Ascorbate,BEST,A form of vitamin C that can help with dark spots and uneven tone.,"Anti-Aging, Evens Skin Tone, Dark Spot Fading"
Sodium Ascorbyl Phosphate,BEST,"Stable, effective form of vitamin C that visibly firms, brightens dullness and evens skin tone.","Anti-Aging, Evens Skin Tone, Dark Spot Fading"
Sodium Chondroitin Sulfate,BEST,"Derived from natural mucopolysaccharides, it functions as a skin-softening agent.",Hydration
Sodium Hyaluronate,BEST,"The salt form of hyaluronic acid. Like its sister ingredient, it's considered an excellent moisturizer, helping skin retain water so it looks and feels smoother. It is more bioavailable than hyaluronic acid, meaning it is more readily absorbed by skin.","Hydration, Anti-Aging, Soothing"
Sodium Hyaluronate Crosspolymer,BEST,A modified form of skin-replenishing hyaluronic acid attached to a polymer structure,"Hydration, Anti-Aging, Soothing"
Sodium Lauroyl Oat Amino Acids,BEST,"Contributes skin-softening, soothing, and cleansing properties. Created by condensing the chloride form of a fatty acid with amino acids derived from oats.","Hydration, Soothing"
Sodium PCA,BEST,"This excellent hydrating ingredient is part of skin’s natural moisturizing factor (NMF). As such, it is a cornerstone of many moisturizers thanks to its ability to help skin both attract and retain moisture, resulting a more supple, youthful appearance.","Hydration, Soothing"
Soothing Agent,BEST,Any ingredient that soothes and improves signs of sensitivity.,
Sorbitol,BEST,This plant-derived or synthetic sugar is a very good humectant that is also used to enhance the stability of gels and maintain their clarity.,Hydration
Soy Extract,BEST,"A natural, potent antioxidant, restoring, and soothing agent for skin that is derived from soybeans.","Anti-Aging, Soothing, Evens Skin Tone"
Soy Isoflavones,BEST,"Compounds derived from the soybean plant that offer numerous benefits, especially for estrogen-deficient skin. Noted for their ability to visibly improve elasticity, texture, density and hydration.","Soothing, Anti-Aging, Evens Skin Tone"
Soy Oil,BEST,Soy oil is a non-fragrant plant oil with multiple uses for skin.,"Anti-Aging, Hydration"
SPF,BEST,The acronym for sun protection factor.,
Sphingolipids,BEST,"Long chain lipids that replenish and condition skin, helping to prevent water loss and maintain barrier function. They’re also precursors to skin’s ceramides.","Hydration, Anti-Aging, Soothing"
Spinacia Oleracea Leaf Extract,BEST,Antioxidant-rich plant extract derived from spinach that delivers anti-aging and soothing properties.,"Anti-Aging, Soothing"
Spiraea Ulmaria Extract,BEST,Skin-calming antioxidant. Can also help temper excessively oily skin.,"Anti-Aging, Soothing, Oil Control"
Squalane,BEST,Prevents moisture loss and restores suppleness to skin. Also strengthens skin’s barrier and provides antioxidant support.,"Hydration, Anti-Aging"
Squalene,BEST,Oil derived from shark liver or from plants (usually olives). Its derivative squalane is a natural component of skin and a good emollient that has antioxidant properties.,"Hydration, Anti-Aging"
Stearyl Glycyrrhetinate,BEST,Antioxidant known for delivering significant skin-soothing properties. Derivative form of licorice root.,"Soothing, Anti-Aging, Evens Skin Tone"
Stellaria Media Extract,BEST,Herb-derived ingredient that offers skin-soothing and antioxidant properties.,"Anti-Aging, Soothing"
Sunflower Seed Oil,BEST,"A non-volatile, non-fragrant plant oil used as skin-calming antioxidant and an emollient in cosmetics.","Hydration, Anti-Aging"
Sun Protection Factor,BEST,"Because sunburn results from UVB radiation, not UVA radiation, SPF is primarily a measure of UVB protection; however, sunscreens rated for broad spectrum protection can protect from UVA rays, too.",
Superoxide Dismutase,BEST,"An enzyme that breaks down potentially harmful oxygen molecules, making it a powerful antioxidant. It has anti-aging and calming properties for skin and helps protect against UV damage.","Anti-Aging, Hydration"
Sweet Almond Oil,BEST,"Emollient, non-fragrant plant oil.","Hydration, Anti-Aging, Soothing"
SYN-TC,BEST,This synthetic blend of three peptides helps support collagen quality and maintenance in skin’s underlying layers.,Anti-Aging
Tannic Acid,BEST,Polyphenol that's considered a very good antioxidant.,Anti-Aging
Tartaric Acid,BEST,This acid acts as both an antioxidant and alpha hydroxy acid. It also helps stabilize the pH of other AHAs so they can work as exfoliants.,"Smooths Bumpy Skin, Evens Skin Tone, Anti-Aging"
Taurine,BEST,This amino acid is found naturally in skin and can have anti-aging benefits when applied topically.,Anti-Aging
Terephthalylidene Dicamphor Sulfonic Acid,BEST,Sunscreen ingredient that provides UVA protection.,Anti-Aging
Terminalia Chebula Fruit Extract,BEST,Terminalia chebula exerts a protective effect on skin exposed to daylight as well as helping to maintain skin's supportive elements.,"Anti-Aging, Soothing"
Terminalia Ferdinandiana (Kakadu Plum) Extract,BEST,"Kakadu plum extract is concentrated in antioxidants, including ascorbic acid (vitamin C), translating to various anti-aging benefits.","Anti-Aging, Evens Skin Tone, Soothing"
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,BEST,"A synthetic peptide blend that steadily improves skin’s hydration, smoothness, and firmness by encouraging skin’s underlying support.",Anti-Aging
Tetrahexyldecyl Ascorbate,BEST,Highly stable form of vitamin C that protects skin from oxidative damage and collagen breakdown.,"Anti-Aging, Evens Skin Tone, Dark Spot Fading"
Tetrahydrobisdemethoxycurcumin,BEST,Antioxidant and skin-soothing plant extract.,"Anti-Aging, Soothing"
Tetrahydrobisdemethoxydiferuloylmethane,BEST,"A turmeric root-derived ingredient that belongs to a group of antioxidants known as curcuminoids. It possesses calming, antioxidants, and discoloration-improving traits.",
Tetrahydrodemethoxycurcumin,BEST,"A form of curcumin, which is derived from turmeric. It has anti-aging and soothing properties for skin.","Anti-Aging, Soothing"
Tetrahydrodemethoxydiferuloylmethane,BEST,"One of a group of soothing natural ingredients known as curcuminoids. Derived from the root of the turmeric plant, research has shown this antioxidant has multiple skin-soothing and tone-improving benefits.","Anti-Aging, Soothing"
Tetrahydrodiferuloylmethane,BEST,"Found in the root of the turmeric plant and lab-made for many skin care uses, this compound delivers potent antioxidant, soothing, and discoloration-reducing benefits to skin.","Anti-Aging, Soothing"
Tetrahydromethoxycurcumin,BEST,Antioxidant and skin-soothing plant extract.,"Anti-Aging, Soothing"
Tetrapeptide-30,BEST,Synthetic skin-calming peptide that interrupts pathways that lead to skin discolorations and uneven tone.,"Anti-Acne, Dark Spot Fading, Soothing"
Theanine,BEST,An amino acid with proven antioxidant and skin-soothing benefits. Occurs naturally in green tea leaves.,"Hydration, Soothing"
Theobroma Cacao (Cocoa) Seed Butter,BEST,Emollient extracted from cocoa beans; a rich source of antioxidant polyphenols.,"Hydration, Anti-Aging, Soothing"
Theobroma Grandiflorum Seed Butter,BEST,This seed butter from a South American plant known as cupuacu has rich emollient properties.,"Anti-Aging, Hydration"
Thermus Thermophillus Ferment,BEST,"This special ferment can help protect skin's support structure from falling prey to destructive enzymes and help maintain a firm feel. It also has antioxidant ability, particularly on rogue molecules formed as fatty acids break down.",
Thioctic Acid,BEST,"An enzyme that, when applied topically, offers beneficial antioxidant properties to help overcome aging factors and visible signs sun damage.",Anti-Aging
Tilia Cordata,BEST,Major constituents in this plant are flavonoids and glycosides.,Anti-Aging
Tilia Cordata Extract,BEST,Major constituents in this extract are flavonoids and glycosides.,Anti-Aging
Titanium Dioxide,BEST,"A versatile ingredient that serves several functions in cosmetics, this earth mineral is perhaps best known as a sunscreen active that's gentle enough even for skin prone to redness and sensitivity.",Anti-Aging
Tocopherol,BEST,"One of four forms of vitamin E. It can be naturally or synthetically derived. Regardless of its origin, tocopherol has potent oil-soluble antioxidant properties and can help defend skin from pollution and environmental stressors.","Anti-Aging, Evens Skin Tone, Soothing"
Tocopherol Acetate,BEST,"A form of vitamin E that, like others, offers significant antioxidant benefits for skin, defending it from pollutants and other environmental stressors.","Anti-Aging, Soothing"
Tocopheryl Acetate,BEST,A form of vitamin E frequently used in cosmetics for its antioxidant benefit.,"Anti-Aging, Soothing"
Tocopheryl Lineolate,BEST,Unknown,"Anti-Aging, Hydration, Soothing"
Tocopheryl Linoleate,BEST,Form of vitamin E that provides moisturization and antioxidant benefits. This ingredient works well to mitigate the negative impact environmental stressors have on skin.,"Anti-Aging, Hydration, Soothing"
Tocopheryl Succinate,BEST,This form of vitamin E helps defend skin from pollution and other environmental stressors that lead to signs of aging.,Anti-Acne
